Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,clean_text,sentiment,hashtags,date,hour,sentiment_score,week,year
0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      , Twitter  ,[],15.0,30.0, USA      ,2023,1,15,12, enjoying a beautiful day at the park              ,positive,[],2023-01-15,12,1,2,2023
1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  ,[],5.0,10.0, Canada   ,2023,1,15,8, traffic was terrible this morning                 ,negative,[],2023-01-15,8,-1,2,2023
2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram ,[],20.0,40.0, USA        ,2023,1,15,15, just finished an amazing workout                ,positive,[],2023-01-15,15,1,2,2023
3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook ,[],8.0,15.0, UK       ,2023,1,15,18, excited about the upcoming weekend getaway        ,positive,[],2023-01-15,18,1,2,2023
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram ,[],12.0,25.0, Australia ,2023,1,15,19, trying out a new recipe for dinner tonight        ,neutral,[],2023-01-15,19,0,2,2023
5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  ,[],25.0,50.0, India    ,2023,1,16,9, feeling grateful for the little things in life    ,positive,[],2023-01-16,9,1,3,2023
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook ,[],10.0,20.0, Canada   ,2023,1,16,14, rainy days call for cozy blankets and hot cocoa   ,negative,[],2023-01-16,14,-1,3,2023
7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram ,[],15.0,30.0, USA    ,2023,1,16,19, the new movie release is a mustwatch             ,neutral,[],2023-01-16,19,0,3,2023
8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  ,[],30.0,60.0, USA      ,2023,1,17,8, political discussions heating up on the timeline  ,neutral,[],2023-01-17,8,0,3,2023
9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook ,[],18.0,35.0, Australia ,2023,1,17,12, missing summer vibes and beach days               ,negative,[],2023-01-17,12,-1,3,2023
10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram ,[],22.0,45.0,USA,2023,1,17,15, just published a new blog post check it out      ,neutral,[],2023-01-17,15,0,3,2023
11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck, Twitter  ,[],7.0,15.0, Canada   ,2023,1,18,10, feeling a bit under the weather today             ,positive,[],2023-01-18,10,1,3,2023
12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook ,[],12.0,25.0, UK       ,2023,1,18,14, exploring the citys hidden gems                  ,neutral,[],2023-01-18,14,0,3,2023
13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram ,[],28.0,55.0, USA        ,2023,1,18,18, new year new fitness goals                     ,positive,[],2023-01-18,18,1,3,2023
14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast, Twitter  ,[],15.0,30.0, India    ,2023,1,19,9, technology is changing the way we live            ,neutral,[],2023-01-19,9,0,3,2023
15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook ,[],20.0,40.0, USA      ,2023,1,19,13, reflecting on the past and looking ahead          ,neutral,[],2023-01-19,13,0,3,2023
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram ,[],15.0,30.0, Canada    ,2023,1,19,17, just adopted a cute furry friend               ,positive,[],2023-01-19,17,1,3,2023
17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  ,[],18.0,35.0, UK       ,2023,1,20,0, latenight gaming session with friends            ,positive,[],2023-01-20,0,1,3,2023
18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook ,[],25.0,50.0,USA,2023,1,20,11, attending a virtual conference on ai              ,neutral,[],2023-01-20,11,0,3,2023
19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  , Instagram ,[],8.0,15.0, USA       ,2023,1,20,15, winter blues got me feeling low                   ,negative,[],2023-01-20,15,-1,3,2023
20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     , Twitter  ,[],22.0,45.0, India    ,2023,1,21,8, sipping coffee and enjoying a good book           ,positive,[],2023-01-21,8,1,3,2023
21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   , Facebook ,[],15.0,30.0,USA,2023,1,21,13, exploring the world of virtual reality            ,neutral,[],2023-01-21,13,0,3,2023
22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro, Instagram ,[],30.0,60.0, USA ,2023,1,21,16, productive day ticking off my todo list          ,neutral,[],2023-01-21,16,0,3,2023
